Precinct,Opposing Ballots 2016,Rebecca Keller Smondrowski 2016,Rebecca Keller Smondrowski Percentage 2016
5017,1138,512,0.3103030303030303
5018,674,272,0.28752642706131076
5019,903,422,0.31849056603773584
5021,1324,588,0.3075313807531381
5022,538,277,0.3398773006134969
5023,1515,637,0.29600371747211895
6001,1044,391,0.2724738675958188
6002,1403,575,0.29069767441860467
6003,1077,561,0.3424908424908425
6004,1129,542,0.3243566726511071
6005,1773,861,0.32687927107061504
6006,1524,610,0.2858481724461106
6007,1663,728,0.30447511501463825
6008,964,428,0.3074712643678161
6009,1388,423,0.23357261181667588
6010,1188,527,0.30728862973760934
6011,20,8,0.2857142857142857
6013,777,428,0.35518672199170126
6014,645,241,0.27200902934537247
6015,1474,622,0.2967557251908397
6016,0,0,X
7001,504,315,0.38461538461538464
7002,784,424,0.3509933774834437
7003,1172,645,0.3549807374793616
7004,1144,660,0.36585365853658536
7005,728,433,0.37295434969853575
7006,525,266,0.336283185840708
7007,698,425,0.3784505788067676
7008,964,522,0.351278600269179
7009,901,487,0.35086455331412103
7010,1098,609,0.35676625659050965
7011,1096,639,0.368299711815562
7012,892,483,0.3512727272727273
7013,1166,625,0.3489670575097711
7015,1350,735,0.35251798561151076
7016,770,437,0.3620546810273405
7018,873,526,0.3759828448892066
7019,1719,916,0.3476280834914611
7020,1125,592,0.34478741991846246
7021,440,251,0.36324167872648333
7022,923,569,0.38136729222520105
7023,1501,768,0.3384750991626267
7024,934,527,0.3607118412046543
7025,999,544,0.3525599481529488
7026,1159,659,0.3624862486248625
7027,648,361,0.35777998017839446
7028,690,366,0.3465909090909091
7031,558,296,0.34660421545667447
7032,475,216,0.3125904486251809
8001,1829,882,0.3253412025082995
8002,1959,983,0.3341264445955133
8003,1336,651,0.3276295923502768
8004,643,299,0.3174097664543524
8005,1504,682,0.3119853613906679
8006,1682,809,0.32476916900843034
8007,1743,828,0.3220536756126021
8008,1346,597,0.3072568193515183
8009,1740,829,0.3226936551187232
8010,930,446,0.3241279069767442
8011,1245,658,0.34576983709931686
8012,1392,714,0.33903133903133903
8014,6,4,0.4
8015,106,40,0.273972602739726
9001,1351,630,0.31802120141342755
9002,1561,767,0.32946735395189003
9003,815,384,0.3202668890742285
9004,1310,613,0.31877275091003643
9005,1147,582,0.3366107576633892
9006,1385,671,0.32636186770428016
9007,1480,698,0.3204775022956841
9008,1612,701,0.3030696065715521
9009,1911,832,0.3033175355450237
9010,287,127,0.30676328502415456
9011,1260,584,0.31670281995661603
9012,1368,626,0.3139418254764293
9013,1427,688,0.3252955082742317
9014,1082,531,0.3292002479851209
9015,1117,541,0.32629674306393247
9016,962,464,0.32538569424964936
9018,1278,551,0.30125751776927284
9020,876,399,0.3129411764705882
9021,1131,448,0.28372387587080433
9022,1707,757,0.307224025974026
9024,837,418,0.33306772908366533
9025,1133,498,0.30533415082771304
9026,1198,548,0.3138602520045819
9027,1463,833,0.3628048780487805
9028,511,249,0.32763157894736844
9029,1252,546,0.303670745272525
9030,1263,566,0.30945872061235646
9031,1003,489,0.3277479892761394
9032,277,118,0.29873417721518986
9033,539,264,0.3287671232876712
9034,1254,544,0.3025583982202447
9035,1586,910,0.3645833333333333
9036,987,437,0.3068820224719101
9037,1006,443,0.305728088336784
9038,185,124,0.40129449838187703
9039,63,31,0.32978723404255317
9040,930,462,0.33189655172413796
9041,866,369,0.2987854251012146
10001,602,236,0.28162291169451076
10002,972,410,0.29667149059334297
10003,876,447,0.3378684807256236
10004,593,272,0.31445086705202313
10005,639,266,0.29392265193370165
10006,590,221,0.2725030826140567
10007,1072,538,0.3341614906832298
10009,1020,444,0.30327868852459017
10010,1001,614,0.3801857585139319
10011,623,308,0.3308270676691729
10012,1175,521,0.3071933962264151
10013,426,167,0.28161888701517707
11000,1080,386,0.26330150068212826
12001,921,319,0.25725806451612904
12002,1049,324,0.2359796067006555
12003,1749,618,0.26108998732572875
12004,1013,332,0.24684014869888476
12005,1369,511,0.27180851063829786
13001,982,440,0.30942334739803096
13002,1792,802,0.3091750192752506
13003,813,445,0.3537360890302067
13004,796,514,0.39236641221374047
13005,844,400,0.3215434083601286
13006,824,540,0.39589442815249265
13007,913,554,0.3776414451261077
13008,806,426,0.3457792207792208
13010,617,307,0.33225108225108224
13011,1129,605,0.3489042675893887
13013,850,439,0.3405740884406517
13014,804,448,0.35782747603833864
13015,1525,772,0.33609055289508055
13016,882,485,0.3547915142648135
13018,849,444,0.3433874709976798
13019,944,518,0.3543091655266758
13020,569,330,0.3670745272525028
13021,1193,683,0.3640724946695096
13022,1245,571,0.31442731277533037
13023,1137,654,0.36515912897822445
13024,754,439,0.36797988264878456
13025,1451,684,0.32037470725995315
13027,1212,605,0.3329664281783159
13028,823,389,0.320957095709571
13029,1126,523,0.3171619163129169
13030,1149,587,0.3381336405529954
13031,790,425,0.3497942386831276
13032,1352,625,0.3161355589276682
13033,668,354,0.34637964774951074
13034,975,523,0.34913217623498
13035,1303,550,0.2968159740960604
13036,1053,598,0.36220472440944884
13037,875,432,0.33052792654934965
13038,1882,854,0.3121345029239766
13039,804,440,0.3536977491961415
13040,987,470,0.3225806451612903
13042,658,353,0.34915924826904055
13043,996,460,0.3159340659340659
13044,930,431,0.316678912564291
13045,802,394,0.3294314381270903
13046,965,488,0.3358568479008947
13047,1083,535,0.33065512978986406
13049,495,209,0.296875
13050,545,289,0.34652278177458035
13051,1486,803,0.3508082131935343
13052,910,438,0.3249258160237389
13053,766,416,0.35194585448392557
13054,905,472,0.3427741466957153
13055,733,338,0.31559290382819793
13056,1100,506,0.3150684931506849
13057,403,188,0.31810490693739424
13058,1468,817,0.3575492341356674
13059,771,378,0.3289817232375979
13060,15,8,0.34782608695652173
13061,1650,724,0.3049705139005897
13063,478,228,0.32294617563739375
13064,1309,547,0.2947198275862069
13065,513,279,0.3522727272727273
13068,1422,740,0.3422756706753006
13069,841,424,0.33517786561264823
13070,75,40,0.34782608695652173
13071,665,360,0.35121951219512193
